,time,location,observation
0,4291.5,trgw-0-21-10,35.44858042
0,4322.5,trgw-0-21-10,35.17577601
0,4352.5,trgw-0-21-10,34.95121156
0,4383.5,trgw-0-21-10,34.74197664
0,3652.5,trgw-0-22-15,35.19711589
0,3683.5,trgw-0-22-15,35.0919725
0,3712.5,trgw-0-22-15,35.06908478
0,3743.5,trgw-0-22-15,35.08382286
0,3773.5,trgw-0-22-15,35.14075696
0,3804.5,trgw-0-22-15,35.18333304
0,3834.5,trgw-0-22-15,35.1699868
0,3865.5,trgw-0-22-15,35.13877233
0,3896.5,trgw-0-22-15,35.08450372
0,3926.5,trgw-0-22-15,34.96169712
0,3957.5,trgw-0-22-15,34.83871131
0,3987.5,trgw-0-22-15,34.7196302
0,4018.5,trgw-0-22-15,34.62930924
0,4049.5,trgw-0-22-15,34.60518542
0,4077.5,trgw-0-22-15,34.65021241
0,4108.5,trgw-0-22-15,34.73116461
0,4138.5,trgw-0-22-15,34.82496102
0,4169.5,trgw-0-22-15,34.91589831
0,4199.5,trgw-0-22-15,34.97254452
0,4230.5,trgw-0-22-15,34.97423619
0,4261.5,trgw-0-22-15,34.88406491
0,4291.5,trgw-0-22-15,34.74567762
0,4322.5,trgw-0-22-15,34.59955457
0,4352.5,trgw-0-22-15,34.46635916
0,4383.5,trgw-0-22-15,34.3346773
0,3652.5,trgw-0-24-4,38.31680837
0,3683.5,trgw-0-24-4,38.2565792
0,3712.5,trgw-0-24-4,38.23563972
0,3743.5,trgw-0-24-4,38.26405372
0,3773.5,trgw-0-24-4,38.33618234
0,3804.5,trgw-0-24-4,38.44347639
0,3834.5,trgw-0-24-4,38.49011913
0,3865.5,trgw-0-24-4,38.45695178
0,3896.5,trgw-0-24-4,38.34776781
0,3926.5,trgw-0-24-4,38.07763554
0,3957.5,trgw-0-24-4,37.75293612
0,3987.5,trgw-0-24-4,37.47679677
0,4018.5,trgw-0-24-4,33.34723135
0,4049.5,trgw-0-24-4,32.40801786
0,4077.5,trgw-0-24-4,29.76899626
0,4108.5,trgw-0-24-4,31.32925347
0,4138.5,trgw-0-24-4,31.0534261
0,4169.5,trgw-0-24-4,31.97695378
0,4199.5,trgw-0-24-4,32.93289506
0,4230.5,trgw-0-24-4,31.63750019
0,4261.5,trgw-0-24-4,33.09244194
0,4291.5,trgw-0-24-4,31.30882234
0,4322.5,trgw-0-24-4,29.27811373
0,4352.5,trgw-0-24-4,28.48525379
0,4383.5,trgw-0-24-4,28.10658142
0,3652.5,trgw-0-26-6,37.37371215
0,3683.5,trgw-0-26-6,37.20404746
0,3712.5,trgw-0-26-6,37.17793906
0,3743.5,trgw-0-26-6,37.1761832
0,3773.5,trgw-0-26-6,37.2536486
0,3804.5,trgw-0-26-6,37.30907664
0,3834.5,trgw-0-26-6,37.30123776
0,3865.5,trgw-0-26-6,37.30200064
0,3896.5,trgw-0-26-6,37.23100101
0,3926.5,trgw-0-26-6,36.94555965
0,3957.5,trgw-0-26-6,36.62836525
0,3987.5,trgw-0-26-6,36.36315011
0,4018.5,trgw-0-26-6,36.18029673
0,4049.5,trgw-0-26-6,36.01031557
0,4077.5,trgw-0-26-6,35.97628764
0,4108.5,trgw-0-26-6,35.94376046
0,4138.5,trgw-0-26-6,36.00088134
0,4169.5,trgw-0-26-6,36.10018572
0,4199.5,trgw-0-26-6,36.20745153
0,4230.5,trgw-0-26-6,36.29895715
0,4261.5,trgw-0-26-6,36.11062582
