iteration,total_runs,obs_realization,par_realization,oname:heads.csv_otype:lst_usecol:trgw-0-13-10,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,oname:heads.csv_otype:lst_usecol:trgw-0-29-15,oname:heads.csv_otype:lst_usecol:trgw-0-3-8,oname:heads.csv_otype:lst_usecol:trgw-0-33-7,oname:heads.csv_otype:lst_usecol:trgw-0-34-10,oname:heads.csv_otype:lst_usecol:trgw-0-9-1
0,100,0,0,18.445,18.929,18.0158,18.2063,18.557,18.819,18.6592,18.6,19.0862,18.3134,18.8838,18.767,18.1815
0,100,1,1,18.4115,18.7541,17.4196,18.8076,18.4374,18.7931,18.8401,18.194,18.3714,19.01,18.2391,18.6515,19.0101
0,100,2,2,18.786,18.6817,19.2689,19.8447,18.5147,19.2843,18.342,18.9056,18.9525,19.8182,19.0657,18.999,19.1197
0,100,3,3,18.448,19.2414,19.4022,19.1116,19.4379,18.8709,17.9467,19.4688,18.8819,19.3077,18.8152,19.5118,18.9154
0,100,4,4,19.426,18.7692,19.0422,19.5064,18.5919,19.0538,19.086,18.5323,18.8978,19.5807,18.7017,17.8667,19.4087
0,100,5,5,19.1084,18.9629,19.1447,18.4598,19.0537,18.6713,18.9458,18.9,18.6151,18.6355,18.9679,18.7324,18.2622
0,100,6,6,18.5484,19.1947,18.2308,18.0638,18.6021,18.9913,18.7347,18.5404,18.6904,18.2482,18.6113,18.4844,18.3635
0,100,7,7,19.212,18.7848,18.9268,18.6873,19.1173,19.0757,18.3775,19.2221,19.1081,18.8472,18.8108,18.5511,18.9538
0,100,8,8,18.8734,19.0656,18.984,18.6835,18.8534,19.1077,18.6429,18.8349,18.8554,18.7631,18.7676,18.8896,18.1948
0,100,9,9,18.6778,19.0523,18.975,18.2976,19.4177,18.77,18.2365,18.8074,18.8651,18.5075,18.7253,18.95,18.0542
0,100,10,10,18.6582,18.5794,18.1956,18.5539,18.583,19.0775,19.0158,18.7333,18.6176,18.8167,18.684,18.6636,18.7598
0,100,11,11,18.8094,19.2079,18.373,17.4484,18.5528,18.9906,18.8659,18.481,18.8307,17.3512,18.7628,17.6594,17.7527
0,100,12,12,18.8324,18.9397,19.7255,18.7034,19.0844,18.7597,19.3413,19.1339,19.077,18.7136,19.1666,19.2074,18.3079
0,100,13,13,18.6161,19.1765,17.8668,17.5869,19.0811,19.032,17.877,18.9117,18.8645,17.6171,18.7024,19.0147,17.82
0,100,14,14,18.5027,19.1011,19.6222,17.911,18.3708,19.0912,18.4888,18.6859,19.201,17.5692,18.8219,18.3496,17.9895
0,100,15,15,18.8015,19.0538,18.3099,18.1749,18.9172,18.812,17.8409,18.2079,19.0628,18.221,18.3151,18.9907,17.6227
0,100,16,16,18.9287,19.0607,19.0254,18.2462,18.3049,18.9972,18.3754,18.2464,18.6721,18.2575,18.7426,19.2372,18.06
0,100,17,17,18.6854,19.3164,18.7407,18.6287,18.9749,19.0877,19.0582,18.7886,19.014,18.8672,18.4002,18.9634,18.5198
0,100,18,18,18.3989,18.4134,18.9317,18.346,18.4161,18.6949,18.4593,18.7427,18.9732,18.6096,19.032,18.3204,18.1049
0,100,19,19,18.2733,18.6612,18.5998,18.0376,18.5124,19.0292,18.6318,18.5096,19.2863,17.9376,18.1231,19.452,17.0832
0,100,20,20,17.9658,18.5039,19.0322,18.6369,18.8838,18.6723,18.9665,18.8137,18.7763,18.2522,18.5746,18.0682,18.567
0,100,21,21,18.6611,19.056,18.858,18.3454,18.703,18.9805,18.9371,18.7622,18.4635,18.2605,18.4427,18.3048,17.4975
0,100,22,22,18.9084,18.9291,18.7519,19.1372,18.6924,18.6517,18.1424,18.8599,18.7077,18.9387,19.1506,18.8274,18.8072
0,100,23,23,19.1725,19.1578,18.4672,19.174,18.8996,18.7577,18.5418,18.9159,18.7249,19.1256,18.9372,19.2773,18.5802
0,100,24,24,18.0543,18.543,19.1356,18.0339,18.4225,19.0994,18.4541,18.866,18.8498,18.2584,18.9037,18.3985,18.6528
0,100,25,25,17.8453,18.8804,18.8027,17.4942,18.5251,18.7418,18.6521,18.4304,18.86,17.7077,18.6685,19.0739,18.4506
0,100,26,26,18.4177,19.029,19.4416,19.3258,18.6981,18.4582,18.8451,18.4229,18.9259,19.5625,18.6647,19.3457,19.3848
0,100,27,27,17.5779,18.8106,18.7392,18.5572,18.4607,18.6766,19.0322,18.2425,19.2268,18.9972,18.6431,18.9883,18.5307
0,100,28,28,17.9053,18.6854,19.2812,16.7162,18.7895,18.7701,18.5465,18.6562,18.6369,17.0599,18.9494,18.8952,17.3091
0,100,29,29,18.6455,18.9762,19.2722,18.6894,18.4486,19.2016,19.0878,18.6587,18.9181,18.9895,18.8174,19.0861,19.4006
0,100,30,30,18.5046,18.7868,17.8927,18.1705,18.4347,19.1647,17.7639,18.8423,18.609,18.3212,18.8437,18.903,17.448
0,100,31,31,18.191,18.8082,18.6278,18.0718,18.1566,18.8173,18.168,18.7684,18.9817,18.4382,18.5058,18.8389,17.4944
0,100,32,32,18.3867,18.9564,17.9908,18.0908,18.73,18.6093,18.9804,18.1853,18.6859,17.9386,18.4021,18.849,17.9177
0,100,33,33,18.6139,19.1275,18.8395,19.0286,18.7452,18.8637,18.8079,19.0596,19.1472,19.3747,18.6241,18.5412,18.9689
0,100,34,34,19.7833,19.0688,19.4228,18.1063,19.2127,18.8029,19.3854,18.7562,18.5423,17.9469,18.7872,18.8305,17.8082
0,100,35,35,19.0901,18.8409,20.3823,18.991,19.0944,18.9427,19.0919,19.1161,19.1706,18.8273,18.72,19.0661,18.9338
